research country/ies in Africa,number of articles
Nigeria,35
Ethiopia,10
Egypt,2
Democratic Republic of the Congo,10
Tanzania,8
South Africa,82
Kenya,22
Uganda,6
Algeria,4
Sudan,0
Morocco,5
Angola,0
Mozambique,3
Ghana,32
Madagascar,0
Cameroon,14
Ivory Coast,13
Niger,3
Burkina Faso,5
Mali,4
Malawi,1
Zambia,1
Senegal,13
Chad,0
Somalia,1
Zimbabwe,3
Guinea,1
Rwanda,8
Benin,23
Burundi,0
Tunisia,0
South Sudan,0
Togo,5
Sierra Leone,1
Libya,0
Republic of Congo,3
Liberia,2
Central African Republic,1
Mauritania,1
Eritrea,0
Namibia,4
Gambia,2
Botswana,2
Gabon,1
Lesotho,0
Guinea Bissau,1
Equatorial Guinea,0
Mauritius,0
Eswatini,0
Djibouti,0
Comoros,0
Cabo Verde,1
Sao Tome & Principe,0
Seychelles,0
